date,pos,neg
2017-12-29 00:00:00,40.18,54.48
2017-09-29 00:00:00,38.78,56.4
2019-04-08 00:00:00,43.25,52.73
2019-09-24 00:00:00,42.66,53.09
2019-08-10 00:00:00,42.91,53.22
2019-10-04 00:00:00,42.04,53.93
2017-05-26 00:00:00,41.04,53.96
2019-11-04 00:00:00,42.17,52.71
2018-09-24 00:00:00,42.51,53.13
2019-02-23 00:00:00,42.6,54.04
2017-11-07 00:00:00,38.22,55.97
2018-06-07 00:00:00,42.41,52.94
2019-06-26 00:00:00,44.83,52.8
2019-12-02 00:00:00,42.57,52.03
2018-05-14 00:00:00,43.39,52.4
2017-10-12 00:00:00,38.96,56.12
2017-04-30 00:00:00,43.94,51.05
2018-12-09 00:00:00,44.04,52.07
2019-02-22 00:00:00,42.63,53.96
2019-05-12 00:00:00,43.29,53.28
2019-10-30 00:00:00,41.79,53.75
2018-03-20 00:00:00,41.1,53.36
2017-09-09 00:00:00,39.41,55.05
2017-08-21 00:00:00,37.47,58.17
2017-02-05 00:00:00,46.03,48.54
2018-06-27 00:00:00,43.05,52.97
2017-12-04 00:00:00,37.78,57.3
2017-06-12 00:00:00,40.52,54.69
2017-12-16 00:00:00,37.22,57.92
2020-01-15 00:00:00,43.28,52.15
2019-01-23 00:00:00,41.12,56.0
2017-05-23 00:00:00,39.96,54.61
2018-04-04 00:00:00,40.51,55.16
2018-10-16 00:00:00,43.26,52.19
2019-08-17 00:00:00,41.98,53.86
2018-09-05 00:00:00,42.03,53.82
2019-01-05 00:00:00,42.24,54.17
2018-10-15 00:00:00,43.08,52.08
2019-12-09 00:00:00,42.91,52.26
2019-04-23 00:00:00,44.04,52.74
2019-01-13 00:00:00,41.58,54.95
2017-05-08 00:00:00,42.75,51.75
2017-11-20 00:00:00,38.16,56.79
2018-09-13 00:00:00,43.2,53.68
2018-09-02 00:00:00,41.48,53.64
2018-05-13 00:00:00,43.4,52.48
2019-10-20 00:00:00,40.96,54.04
2017-02-20 00:00:00,44.48,49.64
2019-04-29 00:00:00,44.17,52.6
2017-03-13 00:00:00,44.16,51.07
2019-11-23 00:00:00,41.11,53.43
2018-11-15 00:00:00,44.48,51.98
2018-07-11 00:00:00,42.13,53.47
2018-09-23 00:00:00,42.37,53.11
2019-08-09 00:00:00,43.0,53.18
2018-06-14 00:00:00,43.13,51.75
2019-09-20 00:00:00,42.64,53.79
2018-03-07 00:00:00,41.53,53.4
2019-11-22 00:00:00,41.38,53.15
2019-07-19 00:00:00,43.64,53.77
2018-11-01 00:00:00,44.17,51.9
2018-11-13 00:00:00,44.3,52.63
2017-10-22 00:00:00,38.27,56.8
2019-11-18 00:00:00,42.36,52.87
2017-03-30 00:00:00,42.26,52.53
2019-06-25 00:00:00,44.53,52.41
2019-11-20 00:00:00,42.04,52.98
2019-10-28 00:00:00,41.57,54.14
2018-07-17 00:00:00,42.24,53.23
2018-04-27 00:00:00,42.08,52.81
2019-04-11 00:00:00,42.86,52.92
2018-12-25 00:00:00,42.5,53.6
2017-03-21 00:00:00,43.35,51.43
2018-11-14 00:00:00,44.55,52.3
2017-07-28 00:00:00,37.94,57.46
2018-06-26 00:00:00,42.41,52.85
2017-04-10 00:00:00,43.97,51.13
2019-11-12 00:00:00,41.84,52.91
2017-07-30 00:00:00,37.92,57.66
2019-04-02 00:00:00,43.27,52.72
2018-05-21 00:00:00,43.86,52.67
2017-04-13 00:00:00,44.05,50.8
2018-11-06 00:00:00,44.35,52.03
2018-02-09 00:00:00,41.91,53.26
